r,$\psi$
0.0014158857103468022,0.007138707945023093
0.0014301155983078744,0.007196588670379007
0.0014444884990205433,0.007254647252474406
0.0014590058497868585,0.0073128851053184925
0.001473669102353996,0.007371303646804934
0.0014884797230594294,0.007429904298738163
0.0015034391929775724,0.007488688486859597
0.0015185490080678835,0.0075476576408738515
0.001533810679324463,0.007606813194474893
0.0015492257329271562,0.007666156585372139
0.0015647957103941666,0.0077256892553165275
0.001580522168736217,0.007785412650126532
0.0015964066806122487,0.007845328219714126
0.0016124508344866836,0.007905437418110695
0.0016286562347882806,0.00796574170349289
0.0016450245020705747,0.00802624253820845
0.001661557273173934,0.008086941388801913
0.0016782562013892477,0.008147839726040338
0.0016951229566232505,0.008208939024938928
0.0017121592255655228,0.008270240764786593
0.0017293667118571572,0.008331746429171435
