r,$\psi$
0.0014301155983078744,0.008959815102418282
0.0014444884990205433,0.009032013651387429
0.0014590058497868585,0.009104432819920195
0.001473669102353996,0.00917707432484783
0.0014884797230594294,0.00924993988708077
0.0015034391929775724,0.00932303123162935
0.0015185490080678835,0.009396350087624244
0.001533810679324463,0.009469898188336686
0.0015492257329271562,0.009543677271198451
0.0015647957103941666,0.00961768907782166
0.001580522168736217,0.009691935354018235
0.0015964066806122487,0.009766417849819185
0.0016124508344866836,0.009841138319493615
0.0016286562347882806,0.009916098521567464
0.0016450245020705747,0.009991300218842007
0.001661557273173934,0.01006674517841206
0.0016782562013892477,0.010142435171683934
0.0016951229566232505,0.01021837197439312
0.0017121592255655228,0.01029455736662168
0.0017293667118571572,0.010370993132815351
0.0017467471362611197,0.010447681061800345
