r,V(r)
0.0007245208631498506,-5518.890740694131
0.0007318024188804728,-5463.956974456926
0.0007391571554628196,-5409.569808472097
0.0007465858083766792,-5355.7238039777185
0.0007540891204935341,-5302.413576328461
0.0007616678421508473,-5249.633794457144
0.0007693227312271008,-5197.379180341592
0.0007770545532175816,-5145.644508476843
0.0007848640813109316,-5094.4246053526
0.0007927520964664691,-5043.714348935861
0.0008007193874922814,-4993.5086681587345
0.0008087667511241114,-4943.802542411297
0.0008168949921050283,-4894.59100103955
0.0008251049232659046,-4845.869122848342
0.0008333973656066964,-4797.63203560926
0.000841773148378549,-4749.874915573377
0.0008502331091667194,-4702.592986988889
0.0008587780939743372,-4655.78152162353
0.0008674089573070025,-4609.435838291762
0.0008761265622582417,-4563.551302386624
0.0008849317805958146,-4518.123325416287
0.0008938254928488935,-4473.147364545191
0.0009028085883961136,-4428.618922139775
0.0009118819655545162,-4384.533545318687
0.0009210465316693785,-4340.886825507504
0.000930303203204949,-4297.674397997872
0.0009396529058360961,-4254.891941511023
0.0009490965745408727,-4212.535177765662
0.0009586351536940199,-4170.599871050113
0.0009682695971614026,-4129.081827798751
0.0009780008683953946,-4087.976896172658
0.0009878299405312295,-4047.2809656444133
0.000997757796484312,-4006.989966587046
0.0010077854290485105,-3967.099869867075
0.0010179138409954387,-3927.6066864415798
0.0010281440451747298,-3888.506466959313
0.0010384770646153282,-3849.7953013657343
0.0010489139326277893,-3811.4693185120213
0.0010594556929076101,-3773.5246857679554
0.0010701033996396044,-3735.957608638635
0.0010808581176033184,-3698.764330385039
0.0010917209222795108,-3661.9411316483456
0.0011026928999577018,-3625.484330077991
0.0011137751478448032,-3589.390279963435
0.0011249687741748374,-3553.6553718695886
0.0011362748983197658,-3518.2760322758595
0.0011476946509014264,-3483.248723218798
0.0011592291739045914,-3448.5699419383145
0.0011708796207911744,-3414.2362205273744
0.0011826471566155727,-3380.2441255852236
0.0011945329581411752,-3346.590257874037
0.0012065382139580404,-3313.271251978994
0.0012186641246017523,-3280.2837759717413
0.001230911902673481,-3247.624531077183
0.0012432827729612415,-3215.290251343608
0.0012557779725623694,-3183.2777033160996
0.0012683987510072388,-3151.583685713172
0.0012811463703842113,-3120.2050291066507
0.001294022105465848,-3089.1385956047216
0.0013070272438363876,-3058.3812785381406
0.0013201630860205026,-3027.930002149572
0.0013334309456133593,-2997.7817212859936
0.0013468321494119746,-2967.9334210941906
0.0013603680375478939,-2938.382116719271
0.0013740399636212118,-2909.124853006165
0.001387849294835929,-2880.1587042041156
0.0014017974121366744,-2851.4807736741022
0.0014158857103468022,-2823.088193599168
0.0014301155983078744,-2794.978124697639
0.0014444884990205433,-2767.1477559392006
0.0014590058497868585,-2739.594304263779
0.001473669102353996,-2712.315014303238
0.0014884797230594294,-2685.3071581058493
0.0015034391929775724,-2658.5680348634805
0.0015185490080678835,-2632.0949706415186
0.001533810679324463,-2605.885318111478
0.0015492257329271562,-2579.9364562862556
0.0015647957103941666,-2554.2457902580454
0.001580522168736217,-2528.8107509388283
0.0015964066806122487,-2503.6287948034696
0.0016124508344866836,-2478.6974036353695
0.0016286562347882806,-2454.0140842746277
0.0016450245020705747,-2429.5763683687337
0.001661557273173934,-2405.381812125727
0.0016782562013892477,-2381.427996069813
0.0016951229566232505,-2357.712524799423
0.0017121592255655228,-2334.23302674766
0.0017293667118571572,-2310.987153945144
0.0017467471362611197,-2287.972581785222
0.0017643022368343355,-2265.1870087914904
0.0017820337691014916,-2242.6281563876555
0.0017999435062305911,-2220.293768669672
0.0018180332392102713,-2198.1816121801494
0.0018363047770289071,-2176.2894756850037
0.0018547599468555032,-2154.615169952339
0.0018734005942224233,-2133.1565275335106
0.0018922285832099397,-2111.911402546387
0.0019112457966326377,-2090.877670460761
0.0019304541362277093,-2070.0532278858855
0.0019498555228451206,-2049.4359923601446
0.0019694518966397014,-2029.0239021427951
0.0019892452172651635,-2008.8149160077965
0.0020092374640700602,-1988.8070130396895
0.002029430636295734,-1968.9981924314948
0.002049826753276237,-1949.3864732846343
0.0020704278546402606,-1929.9698944108452
0.0020912360005151103,-1910.7465141360494
0.002112253271732714,-1891.7144101061913
0.002133481770037708,-1872.8716790949986
0.002154923618297615,-1854.2164368136578
0.0021765809607151255,-1835.7468177223882
0.0021984559630425313,-1817.4609748438784
0.0022205508127982956,-1799.3570795785918
0.0022428677194858034,-1781.4333215219078
0.002265408914814322,-1763.6879082830733
0.0022881766529221693,-1746.119065305966
0.002311173210602129,-1728.725035691637
