r,V(r)
0.0008761265622582417,-3895.5274522489653
0.0008849317805958146,-3856.7522471894026
0.0008938254928488935,-3818.3628619910064
0.0009028085883961136,-3780.3554576832703
0.0009118819655545162,-3742.726233494086
0.0009210465316693785,-3705.4714264696768
0.000930303203204949,-3668.587311098292
0.0009396529058360961,-3632.070198937654
0.0009490965745408727,-3595.9164382461204
0.0009586351536940199,-3560.1224136174897
0.0009682695971614026,-3524.6845456194656
0.0009780008683953946,-3489.5992904357217
0.0009878299405312295,-3454.863139511499
0.000997757796484312,-3420.472619202754
0.0010077854290485105,-3386.4242904287976
0.0010179138409954387,-3352.7147483283734
0.0010281440451747298,-3319.3406219191857
0.0010384770646153282,-3286.298573760776
0.0010489139326277893,-3253.5852996207886
0.0010594556929076101,-3221.197528144554
0.0010701033996396044,-3189.132020527929
0.0010808581176033184,-3157.3855701934303
0.0010917209222795108,-3125.9550024695664
0.0011026928999577018,-3094.8371742733702
0.0011137751478448032,-3064.0289737960884
0.0011249687741748374,-3033.527320192001
0.0011362748983197658,-3003.3291632703263
0.0011476946509014264,-2973.431483190202
0.0011592291739045914,-2943.8312901587087
0.0011708796207911744,-2914.525624131872
0.0011826471566155727,-2885.5115545186663
0.0011945329581411752,-2856.7861798879494
0.0012065382139580404,-2828.3466276783156
0.0012186641246017523,-2800.190053910847
0.001230911902673481,-2772.313642904699
0.0012432827729612415,-2744.714606995536
0.0012557779725623694,-2717.3901862567704
0.0012683987510072388,-2690.3376482235526
0.0012811463703842113,-2663.5542876195345
0.001294022105465848,-2637.0374260863323
0.0013070272438363876,-2610.784411915692
0.0013201630860205026,-2584.792619784321
0.0013334309456133593,-2559.0594504913397
0.0013468321494119746,-2533.582330698372
0.0013603680375478939,-2508.3587126722086
0.0013740399636212118,-2483.386074030022
0.001387849294835929,-2458.661917487135
0.0014017974121366744,-2434.183770607288
0.0014158857103468022,-2409.9491855553897
0.0014301155983078744,-2385.9557388527364
0.0014444884990205433,-2362.2010311346635
0.0014590058497868585,-2338.682686910599
0.001473669102353996,-2315.3983543265163
0.0014884797230594294,-2292.345704929755
0.0015034391929775724,-2269.5224334361596
0.0015185490080678835,-2246.9262574995573
0.001533810679324463,-2224.5549174835223
0.0015492257329271562,-2202.4061762354036
0.0015647957103941666,-2180.4778188626206
0.001580522168736217,-2158.767652511156
0.0015964066806122487,-2137.273506146278
0.0016124508344866836,-2115.993230335439
0.0016286562347882806,-2094.924697033318
0.0016450245020705747,-2074.065799369024
0.001661557273173934,-2053.4144514354043
0.0016782562013892477,-2032.9685880804507
0.0016951229566232505,-2012.7261647007888
0.0017121592255655228,-1992.685157037206
0.0017293667118571572,-1972.8435609722299
0.0017467471362611197,-1953.1993923297177
0.0017643022368343355,-1933.7506866764293
0.0017820337691014916,-1914.4954991255877
0.0017999435062305911,-1895.4319041423873
0.0018180332392102713,-1876.557995351439
0.0018363047770289071,-1857.8718853461291
0.0018547599468555032,-1839.3717054998838
0.0018734005942224233,-1821.0556057792949
0.0018922285832099397,-1802.921754559121
0.0019112457966326377,-1784.968338439126
0.0019304541362277093,-1767.19356206273
0.0019498555228451206,-1749.5956479374786
0.0019694518966397014,-1732.1728362572883
0.0019892452172651635,-1714.923384726465
0.0020092374640700602,-1697.8455683854786
0.002029430636295734,-1680.9376794384566
0.002049826753276237,-1664.198027082407
0.0020704278546402606,-1647.6249373381415
0.0020912360005151103,-1631.2167528828675
0.002112253271732714,-1614.9718328844592
0.002133481770037708,-1598.8885528373733
0.002154923618297615,-1582.9653044001948
0.0021765809607151255,-1567.2004952348068
0.0021984559630425313,-1551.592548847147
0.0022205508127982956,-1536.1399044295626
0.0022428677194858034,-1520.8410167047296
0.002265408914814322,-1505.6943557711184
0.0022881766529221693,-1490.6984069500063
0.002311173210602129,-1475.851670634007
0.002334400887529133,-1461.152662137109
0.002357862006490233,-1446.5999115462046
0.0023815589136168707,-1432.1919635741028
0.0024054939786195095,-1417.92737741399
0.0024296695950245975,-1403.8047265953533
0.002454088180413917,-1389.8225988413367
0.0024787521766663585,-1375.979595927503
0.0025036640502021,-1362.2743335420168
0.0025288262922292556,-1348.705441147209
0.0025542414189929983,-1335.2715618425236
0.00257991197202718,-1321.9713522288275
0.0026058405184084983,-1308.8034822740656
0.0026320296510132005,-1295.7666351802586
0.002658481988776367,-1282.8595072518256
0.0026852001769538205,-1270.0808077652068
0.0027121868873866434,-1257.4292588397948
0.0027394448187683684,-1244.9035953101434
0.0027669766969148483,-1232.502564599451
0.0027947852750368437,-1220.2249265943008
0.0028228733340153363,-1208.069453520652
0.002851243682679635,-1196.0349298210544
0.002879899158088243,-1184.1201520331
0.002908842625812584,-1172.3239286690687
0.0029380769802235503,-1160.6450800967814
0.002967605144780944,-1149.0824384216369
0.0029974300723258286,-1137.6348473698197
0.0030275547453758153,-1126.3011621726712
0.0030579821764233073,-1115.0802494522165
0.0030887154082367718,-1103.9709871078173
0.0031197575141649948,-1092.9722642039706
0.0031511115984444414,-1082.0829808592052
0.003182780796509667,-1071.3020481360988
0.00321476827530687,-1060.6283879323805
